date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TRENT,EQ,527.00,534.75,524.00,529.65,527.15,107849,572.50,4279,
2020-01-02,TRENT,EQ,529.50,545.90,528.70,541.35,529.65,158640,856.90,8740,
2020-01-03,TRENT,EQ,542.40,542.80,534.00,535.90,541.35,63423,340.82,3215,
2020-01-06,TRENT,EQ,533.00,534.90,521.40,529.95,535.90,105970,559.69,5332,
2020-01-07,TRENT,EQ,532.00,540.85,528.40,532.95,529.95,153960,827.46,4262,
2020-01-08,TRENT,EQ,526.60,534.55,521.40,531.95,532.95,163181,865.34,11475,
2020-01-09,TRENT,EQ,535.00,557.85,532.00,547.45,531.95,200543,1099.20,7843,
2020-01-10,TRENT,EQ,548.75,559.00,543.00,550.55,547.45,156788,867.55,7841,
2020-01-13,TRENT,EQ,551.00,557.90,541.00,545.45,550.55,79458,437.07,5855,
2020-01-14,TRENT,EQ,547.10,565.00,542.20,561.15,545.45,152033,846.87,4340,
2020-01-15,TRENT,EQ,561.15,586.50,555.00,583.95,561.15,568486,3278.90,14919,
2020-01-16,TRENT,EQ,584.90,600.00,584.00,591.50,583.95,323010,1918.86,13973,
2020-01-17,TRENT,EQ,595.80,599.95,565.65,591.40,591.50,179399,1046.39,7167,
2020-01-20,TRENT,EQ,595.00,611.95,594.45,600.30,591.40,460984,2773.03,7395,
2020-01-21,TRENT,EQ,599.25,603.40,588.35,594.30,600.30,217977,1297.69,4014,
2020-01-22,TRENT,EQ,603.95,605.00,582.20,586.20,594.30,71955,426.33,3358,
2020-01-23,TRENT,EQ,590.05,594.25,582.30,589.50,586.20,82621,486.45,3482,
2020-01-24,TRENT,EQ,591.80,596.00,576.10,583.30,589.50,128325,750.17,6191,
2020-01-27,TRENT,EQ,577.00,584.25,570.00,572.75,583.30,71115,410.65,4179,
2020-01-28,TRENT,EQ,573.05,597.80,568.00,587.95,572.75,283284,1645.71,16185,
2020-01-29,TRENT,EQ,591.40,600.00,578.00,582.25,587.95,134349,792.69,5567,
2020-01-30,TRENT,EQ,586.20,594.95,578.85,582.00,582.25,88967,523.16,4247,
2020-01-31,TRENT,EQ,586.00,595.00,580.00,590.80,582.00,108209,636.67,5258,
2020-02-03,TRENT,EQ,580.10,596.75,579.85,594.05,574.65,336150,1992.70,13271,
2020-02-04,TRENT,EQ,596.15,607.00,595.00,600.75,594.05,223685,1345.57,15093,
2020-02-05,TRENT,EQ,601.75,602.80,585.00,592.60,600.75,181054,1073.75,9183,
2020-02-06,TRENT,EQ,596.00,599.00,590.10,593.10,592.60,160852,956.31,5485,
2020-02-07,TRENT,EQ,620.00,678.40,620.00,662.55,593.10,2595009,16758.74,79294,
2020-02-10,TRENT,EQ,665.00,701.65,642.15,695.75,662.55,1105421,7561.48,41899,
2020-02-11,TRENT,EQ,700.50,714.60,669.90,676.95,695.75,967825,6682.86,47112,
2020-02-12,TRENT,EQ,675.85,725.00,673.50,705.30,676.95,1234720,8742.08,48327,
2020-02-13,TRENT,EQ,708.00,742.00,702.00,734.40,705.30,875161,6359.83,43639,
2020-02-14,TRENT,EQ,736.60,764.00,712.60,758.30,734.40,1068329,8006.90,56564,
2020-02-17,TRENT,EQ,753.00,782.75,736.05,749.80,758.30,848055,6448.23,32974,
2020-02-18,TRENT,EQ,751.00,764.60,715.80,727.40,749.80,538830,3945.78,31650,
2020-02-19,TRENT,EQ,731.85,779.00,731.85,775.15,727.40,656923,4996.51,22940,
2020-02-20,TRENT,EQ,775.90,794.00,765.00,776.05,775.15,1076588,8438.00,25577,
2020-02-24,TRENT,EQ,775.90,802.95,767.10,795.95,776.05,543365,4285.08,23382,
2020-02-25,TRENT,EQ,792.00,804.70,760.00,764.10,795.95,464607,3610.65,36385,
2020-02-26,TRENT,EQ,755.00,762.00,735.00,738.00,764.10,580129,4321.74,34509,
2020-02-27,TRENT,EQ,733.10,748.70,728.00,734.10,738.00,283297,2086.87,15962,
2020-02-28,TRENT,EQ,714.90,760.00,680.00,737.20,734.10,741077,5360.75,31525,
2020-03-02,TRENT,EQ,750.50,778.00,723.15,731.80,737.20,370025,2778.24,17542,
2020-03-03,TRENT,EQ,734.95,754.00,720.00,725.95,731.80,338626,2480.90,17256,
2020-03-04,TRENT,EQ,735.00,736.70,673.90,683.65,725.95,752869,5197.63,38531,
2020-03-05,TRENT,EQ,694.95,706.70,680.00,684.85,683.65,323635,2245.12,20106,
2020-03-06,TRENT,EQ,660.00,699.80,649.00,693.80,684.85,416766,2846.64,22696,
2020-03-09,TRENT,EQ,675.00,680.00,621.25,660.35,693.80,588634,3885.42,25355,
2020-03-11,TRENT,EQ,664.45,698.00,645.15,659.45,660.35,349780,2338.32,22686,
2020-03-12,TRENT,EQ,620.00,635.00,567.00,597.15,659.45,936391,5578.30,33111,
2020-03-13,TRENT,EQ,530.50,650.00,530.50,600.45,597.15,876985,5066.31,33741,
2020-03-16,TRENT,EQ,570.00,588.00,530.00,572.00,600.45,669096,3774.39,34475,
2020-03-17,TRENT,EQ,566.00,580.00,525.00,536.85,572.00,560362,3159.41,12661,
2020-03-18,TRENT,EQ,540.00,552.05,457.00,489.00,536.85,863441,4223.02,32664,
2020-03-19,TRENT,EQ,451.00,483.40,422.10,470.90,489.00,1001487,4691.74,26385,
2020-03-20,TRENT,EQ,470.90,524.40,448.25,505.25,470.90,565163,2701.24,20559,
2020-03-23,TRENT,EQ,442.00,479.80,404.20,404.20,505.25,585178,2603.17,19786,
2020-03-24,TRENT,EQ,381.35,425.00,365.00,404.40,404.20,550687,2180.63,16896,
2020-03-25,TRENT,EQ,400.00,480.00,380.30,446.60,404.40,389470,1713.21,23294,
2020-03-26,TRENT,EQ,449.40,507.00,416.25,495.75,446.60,624724,3096.31,25143,
2020-03-27,TRENT,EQ,513.95,530.00,471.65,483.30,495.75,557690,2775.51,25563,
2020-03-30,TRENT,EQ,480.00,480.00,448.40,453.35,483.30,333640,1535.60,20075,
2020-03-31,TRENT,EQ,474.90,495.00,457.00,484.35,453.35,774405,3722.22,33333,
2020-04-01,TRENT,EQ,475.50,489.25,456.00,465.70,484.35,377302,1780.12,19910,
2020-04-03,TRENT,EQ,469.95,475.80,431.50,450.25,465.70,511693,2306.85,24260,
2020-04-07,TRENT,EQ,472.00,475.15,451.15,456.85,450.25,508663,2326.76,28804,
2020-04-08,TRENT,EQ,458.00,482.00,452.50,462.60,456.85,245975,1148.01,11066,
2020-04-09,TRENT,EQ,471.90,496.50,458.15,464.60,462.60,1338932,6438.03,45123,
2020-04-13,TRENT,EQ,467.05,467.90,433.05,453.85,464.60,683085,3082.71,47771,
2020-04-15,TRENT,EQ,455.55,464.00,448.00,454.40,453.85,1876617,8583.02,41698,
2020-04-16,TRENT,EQ,454.40,462.45,451.00,460.35,454.40,289907,1330.76,23067,
2020-04-17,TRENT,EQ,470.00,502.00,465.55,488.65,460.35,1153768,5661.19,52057,
2020-04-20,TRENT,EQ,490.40,507.40,473.55,478.35,488.65,398374,1942.00,17258,
2020-04-21,TRENT,EQ,470.00,479.90,457.55,473.45,478.35,273636,1284.70,9503,
2020-04-22,TRENT,EQ,468.70,478.00,460.00,473.55,473.45,341096,1604.91,16971,
2020-04-23,TRENT,EQ,475.00,504.60,475.00,498.90,473.55,1142421,5694.98,26262,
2020-04-24,TRENT,EQ,495.00,495.00,478.20,485.75,498.90,199181,968.12,6095,
2020-04-27,TRENT,EQ,483.00,505.30,478.85,494.00,485.75,709739,3488.62,12276,
2020-04-28,TRENT,EQ,496.00,501.00,471.40,491.75,494.00,1299395,6235.51,13801,
2020-04-29,TRENT,EQ,489.00,497.45,483.00,487.05,491.75,209089,1024.58,7664,
2020-04-30,TRENT,EQ,494.00,509.90,492.15,505.00,487.05,935900,4715.30,30488,
2020-05-04,TRENT,EQ,490.05,494.95,471.00,477.55,505.00,269628,1288.28,9257,
2020-05-05,TRENT,EQ,482.00,487.30,474.55,475.80,477.55,327052,1565.62,11628,
2020-05-06,TRENT,EQ,479.70,486.95,451.55,470.50,475.80,751468,3549.99,15463,
2020-05-07,TRENT,EQ,470.40,475.25,463.95,465.40,470.50,214394,1003.12,11676,
