date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,TVSMOTOR,EQ,469.90,471.75,464.30,468.60,468.45,902225,4221.64,9860,
2020-01-02,TVSMOTOR,EQ,467.85,469.60,456.00,459.35,468.60,1474570,6813.08,31749,
2020-01-03,TVSMOTOR,EQ,457.95,457.95,447.00,452.60,459.35,1890542,8524.99,34091,
2020-01-06,TVSMOTOR,EQ,450.00,451.90,440.25,447.10,452.60,1673703,7463.19,29728,
2020-01-07,TVSMOTOR,EQ,450.00,454.35,443.00,448.10,447.10,1309468,5858.93,17621,
2020-01-08,TVSMOTOR,EQ,443.80,449.40,438.50,448.25,448.10,1186784,5265.94,16232,
2020-01-09,TVSMOTOR,EQ,450.65,463.70,450.65,462.30,448.25,1127745,5163.66,16362,
2020-01-10,TVSMOTOR,EQ,462.05,471.50,459.65,470.40,462.30,1177820,5496.66,18991,
2020-01-13,TVSMOTOR,EQ,471.00,471.65,464.10,468.55,470.40,1067092,4996.81,21302,
2020-01-14,TVSMOTOR,EQ,468.10,474.45,465.70,471.70,468.55,911176,4287.06,12451,
2020-01-15,TVSMOTOR,EQ,470.95,489.95,468.20,484.20,471.70,1222665,5846.00,21994,
2020-01-16,TVSMOTOR,EQ,488.00,493.40,484.55,488.35,484.20,1423802,6958.54,21843,
2020-01-17,TVSMOTOR,EQ,490.00,499.50,481.85,485.10,488.35,2613095,12866.61,50760,
2020-01-20,TVSMOTOR,EQ,485.50,486.90,468.65,470.25,485.10,1227450,5813.68,11796,
2020-01-21,TVSMOTOR,EQ,467.85,470.35,458.75,461.40,470.25,1139830,5269.00,15261,
2020-01-22,TVSMOTOR,EQ,462.50,468.50,455.45,464.55,461.40,1201196,5569.03,18856,
2020-01-23,TVSMOTOR,EQ,464.10,469.50,459.50,464.40,464.55,1172659,5457.04,19176,
2020-01-24,TVSMOTOR,EQ,464.40,473.80,462.70,468.90,464.40,1446483,6786.08,22885,
2020-01-27,TVSMOTOR,EQ,468.90,476.85,462.85,465.10,468.90,1354540,6384.77,33087,
2020-01-28,TVSMOTOR,EQ,465.50,474.90,452.40,461.75,465.10,1440700,6702.35,28329,
2020-01-29,TVSMOTOR,EQ,464.00,471.50,461.80,469.85,461.75,989238,4620.56,15140,
2020-01-30,TVSMOTOR,EQ,468.25,475.80,463.60,469.50,469.85,1629705,7647.35,20146,
2020-01-31,TVSMOTOR,EQ,471.00,473.35,465.00,467.05,469.50,843524,3948.23,22536,
2020-02-03,TVSMOTOR,EQ,457.00,473.80,454.60,471.30,463.95,1694927,7903.92,43816,
2020-02-04,TVSMOTOR,EQ,472.00,480.85,450.00,455.25,471.30,2614003,12163.58,66262,
2020-02-05,TVSMOTOR,EQ,456.15,483.00,456.15,463.05,455.25,4906286,23060.76,98374,
2020-02-06,TVSMOTOR,EQ,464.00,481.00,463.00,473.85,463.05,2689597,12793.39,39449,
2020-02-07,TVSMOTOR,EQ,476.20,479.95,464.75,466.20,473.85,1261340,5927.73,22488,
2020-02-10,TVSMOTOR,EQ,466.20,467.80,454.50,456.20,466.20,862786,3966.89,15158,
2020-02-11,TVSMOTOR,EQ,458.90,461.65,449.40,451.00,456.20,1022942,4668.90,11833,
2020-02-12,TVSMOTOR,EQ,454.80,455.20,444.40,448.05,451.00,899763,4033.52,18375,
2020-02-13,TVSMOTOR,EQ,450.85,451.50,441.60,444.80,448.05,895235,3993.18,15489,
2020-02-14,TVSMOTOR,EQ,444.80,447.55,437.10,439.20,444.80,814225,3610.18,14957,
2020-02-17,TVSMOTOR,EQ,436.00,440.50,428.15,430.45,439.20,1104464,4793.10,22090,
2020-02-18,TVSMOTOR,EQ,429.00,443.00,424.00,438.40,430.45,1737719,7504.31,24912,
2020-02-19,TVSMOTOR,EQ,442.95,446.70,434.55,440.70,438.40,1353692,5961.11,20642,
2020-02-20,TVSMOTOR,EQ,440.50,447.90,437.30,446.45,440.70,1211994,5375.73,18979,
2020-02-24,TVSMOTOR,EQ,446.40,448.45,436.25,438.60,446.45,1050427,4654.20,16676,
2020-02-25,TVSMOTOR,EQ,422.00,441.90,409.45,436.40,438.60,8613028,36608.88,108376,
2020-02-26,TVSMOTOR,EQ,424.80,437.80,423.55,435.30,436.40,1585956,6847.01,18914,
2020-02-27,TVSMOTOR,EQ,428.00,444.00,422.95,439.60,435.30,2638164,11437.94,25395,
2020-02-28,TVSMOTOR,EQ,421.00,441.00,418.85,435.70,439.60,2258696,9758.58,28031,
2020-03-02,TVSMOTOR,EQ,435.55,446.70,412.55,419.35,435.70,2266674,9805.09,28280,
2020-03-03,TVSMOTOR,EQ,422.00,430.00,408.50,422.15,419.35,1973306,8253.66,21808,
2020-03-04,TVSMOTOR,EQ,424.00,428.00,400.60,409.85,422.15,2691474,11018.82,29300,
2020-03-05,TVSMOTOR,EQ,413.70,417.65,406.20,413.95,409.85,1096006,4519.32,13865,
2020-03-06,TVSMOTOR,EQ,404.70,416.50,396.25,414.10,413.95,1049346,4298.66,13841,
2020-03-09,TVSMOTOR,EQ,402.15,407.75,388.35,399.70,414.10,1370754,5479.33,17171,
2020-03-11,TVSMOTOR,EQ,397.25,409.40,391.75,403.80,399.70,1745488,7022.31,20201,
2020-03-12,TVSMOTOR,EQ,387.95,395.95,366.00,388.20,403.80,1669093,6364.25,21876,
2020-03-13,TVSMOTOR,EQ,351.00,408.65,349.40,403.10,388.20,1617982,6231.86,30612,
2020-03-16,TVSMOTOR,EQ,383.50,396.30,376.55,380.65,403.10,601756,2328.34,20560,
2020-03-17,TVSMOTOR,EQ,380.00,400.80,372.45,385.15,380.65,1202231,4668.72,23908,
2020-03-18,TVSMOTOR,EQ,387.55,391.40,352.65,363.35,385.15,1727263,6339.39,26237,
2020-03-19,TVSMOTOR,EQ,341.00,386.55,341.00,363.20,363.35,1936414,7145.79,39307,
2020-03-20,TVSMOTOR,EQ,365.10,383.50,354.00,379.80,363.20,1987347,7312.26,27097,
2020-03-23,TVSMOTOR,EQ,345.00,370.00,306.00,331.35,379.80,1619513,5315.12,27822,
2020-03-24,TVSMOTOR,EQ,310.50,354.75,310.50,339.40,331.35,2368750,7897.79,60861,
2020-03-25,TVSMOTOR,EQ,330.00,347.85,325.15,332.50,339.40,2560659,8618.31,62863,
2020-03-26,TVSMOTOR,EQ,332.00,342.00,312.60,322.35,332.50,4672157,15110.62,94857,
2020-03-27,TVSMOTOR,EQ,328.00,333.00,298.00,303.95,322.35,3061148,9618.55,60689,
2020-03-30,TVSMOTOR,EQ,295.00,300.75,287.00,292.80,303.95,1633641,4791.36,32127,
2020-03-31,TVSMOTOR,EQ,297.00,302.90,287.05,297.55,292.80,1026802,3035.67,22239,
2020-04-01,TVSMOTOR,EQ,297.35,297.40,275.00,279.15,297.55,2763951,7800.77,50108,
2020-04-03,TVSMOTOR,EQ,275.05,277.95,251.50,252.95,279.15,3325587,8614.23,56878,
2020-04-07,TVSMOTOR,EQ,254.00,278.20,240.10,264.40,252.95,7046208,17855.45,65112,
2020-04-08,TVSMOTOR,EQ,261.10,288.00,261.00,285.90,264.40,6025235,16722.31,67223,
2020-04-09,TVSMOTOR,EQ,288.00,313.20,287.10,305.80,285.90,5331004,16002.80,75690,
2020-04-13,TVSMOTOR,EQ,307.00,307.00,287.10,289.80,305.80,2420220,7072.88,54654,
2020-04-15,TVSMOTOR,EQ,290.00,298.90,273.60,276.30,289.80,5152327,14785.34,64752,
2020-04-16,TVSMOTOR,EQ,267.10,280.00,265.20,276.20,276.30,6728570,18205.19,52962,
2020-04-17,TVSMOTOR,EQ,290.00,303.80,283.20,300.95,276.20,9091683,26714.70,88999,
2020-04-20,TVSMOTOR,EQ,321.95,321.95,303.05,307.55,300.95,7127739,22020.87,100403,
