date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,ULTRACEMCO,EQ,4060.00,4071.95,4045.00,4065.00,4046.05,163949,6654.88,9451,
2020-01-02,ULTRACEMCO,EQ,4069.90,4256.30,4068.15,4244.80,4065.00,1458328,61265.22,94709,
2020-01-03,ULTRACEMCO,EQ,4237.00,4258.00,4185.85,4219.20,4244.80,635983,26852.49,46789,
2020-01-06,ULTRACEMCO,EQ,4191.00,4199.75,4131.00,4157.10,4219.20,462841,19298.40,39868,
2020-01-07,ULTRACEMCO,EQ,4199.55,4254.00,4164.05,4242.10,4157.10,524372,22135.67,41214,
2020-01-08,ULTRACEMCO,EQ,4224.85,4332.00,4183.80,4318.95,4242.10,1032268,44320.27,72733,
2020-01-09,ULTRACEMCO,EQ,4337.00,4400.00,4331.60,4388.00,4318.95,698429,30540.28,47576,
2020-01-10,ULTRACEMCO,EQ,4388.10,4464.05,4366.90,4444.60,4388.00,735887,32599.83,54585,
2020-01-13,ULTRACEMCO,EQ,4457.55,4492.00,4450.05,4468.70,4444.60,403937,18068.66,32808,
2020-01-14,ULTRACEMCO,EQ,4465.00,4502.95,4422.70,4483.30,4468.70,438651,19536.25,36958,
2020-01-15,ULTRACEMCO,EQ,4451.05,4525.25,4410.00,4506.50,4483.30,416924,18581.51,32862,
2020-01-16,ULTRACEMCO,EQ,4520.00,4554.90,4433.25,4472.35,4506.50,467980,21077.70,38904,
2020-01-17,ULTRACEMCO,EQ,4440.00,4522.40,4411.30,4486.75,4472.35,360682,16181.62,33498,
2020-01-20,ULTRACEMCO,EQ,4500.00,4509.45,4452.00,4467.65,4486.75,204026,9128.96,17123,
2020-01-21,ULTRACEMCO,EQ,4455.00,4520.00,4440.00,4483.55,4467.65,283173,12695.53,33184,
2020-01-22,ULTRACEMCO,EQ,4505.00,4540.00,4463.00,4476.95,4483.55,359444,16191.55,23405,
2020-01-23,ULTRACEMCO,EQ,4470.00,4540.00,4446.05,4526.40,4476.95,401079,18035.82,35389,
2020-01-24,ULTRACEMCO,EQ,4554.00,4679.70,4452.65,4642.75,4526.40,2127667,97332.73,131929,
2020-01-27,ULTRACEMCO,EQ,4624.90,4754.10,4622.00,4676.95,4642.75,1058884,49705.46,84765,
2020-01-28,ULTRACEMCO,EQ,4670.00,4715.80,4584.50,4609.05,4676.95,711517,33002.54,48737,
2020-01-29,ULTRACEMCO,EQ,4625.00,4653.50,4559.50,4568.20,4609.05,595287,27375.41,45661,
2020-01-30,ULTRACEMCO,EQ,4569.00,4588.50,4464.15,4486.00,4568.20,422335,19055.12,38631,
2020-01-31,ULTRACEMCO,EQ,4502.30,4507.30,4405.00,4416.10,4486.00,451630,20091.94,40501,
2020-02-03,ULTRACEMCO,EQ,4265.00,4386.85,4236.15,4370.65,4265.25,537373,23244.12,48595,
2020-02-04,ULTRACEMCO,EQ,4394.95,4498.85,4379.05,4474.25,4370.65,387466,17299.06,36447,
2020-02-05,ULTRACEMCO,EQ,4477.00,4528.60,4397.60,4471.80,4474.25,521783,23302.28,37704,
2020-02-06,ULTRACEMCO,EQ,4480.00,4519.05,4442.00,4464.90,4471.80,385744,17255.61,39005,
2020-02-07,ULTRACEMCO,EQ,4476.40,4547.00,4449.65,4471.80,4464.90,547874,24705.55,48152,
2020-02-10,ULTRACEMCO,EQ,4487.00,4492.60,4390.75,4413.75,4471.80,271700,12026.07,30543,
2020-02-11,ULTRACEMCO,EQ,4447.70,4519.50,4433.00,4466.45,4413.75,296451,13295.74,27746,
2020-02-12,ULTRACEMCO,EQ,4492.70,4492.70,4439.95,4453.75,4466.45,323821,14455.12,16938,
2020-02-13,ULTRACEMCO,EQ,4439.95,4473.15,4415.00,4450.50,4453.75,186493,8287.69,23381,
2020-02-14,ULTRACEMCO,EQ,4469.00,4538.95,4393.05,4434.35,4450.50,665316,29764.76,80870,
2020-02-17,ULTRACEMCO,EQ,4443.90,4465.00,4401.10,4449.85,4434.35,354909,15784.20,25384,
2020-02-18,ULTRACEMCO,EQ,4433.60,4488.20,4370.10,4475.70,4449.85,510062,22583.95,32489,
2020-02-19,ULTRACEMCO,EQ,4494.00,4530.00,4455.00,4473.10,4475.70,384898,17234.26,38545,
2020-02-20,ULTRACEMCO,EQ,4450.00,4508.00,4420.00,4428.10,4473.10,414088,18487.00,31796,
2020-02-24,ULTRACEMCO,EQ,4415.00,4455.00,4320.00,4395.00,4428.10,383261,16931.85,50251,
2020-02-25,ULTRACEMCO,EQ,4397.50,4400.00,4330.75,4344.00,4395.00,402233,17522.91,48059,
2020-02-26,ULTRACEMCO,EQ,4320.25,4423.90,4286.05,4341.50,4344.00,642946,28127.39,48852,
2020-02-27,ULTRACEMCO,EQ,4332.55,4365.05,4275.35,4321.65,4341.50,369157,15946.98,48512,
2020-02-28,ULTRACEMCO,EQ,4270.00,4304.15,4200.00,4219.60,4321.65,524557,22209.80,48488,
2020-03-02,ULTRACEMCO,EQ,4255.00,4316.30,4078.55,4141.70,4219.60,378937,16074.63,33251,
2020-03-03,ULTRACEMCO,EQ,4179.90,4329.00,4157.55,4299.90,4141.70,606056,25691.93,55166,
2020-03-04,ULTRACEMCO,EQ,4310.05,4325.00,4117.00,4172.80,4299.90,750952,31529.21,62088,
2020-03-05,ULTRACEMCO,EQ,4182.05,4230.00,4151.60,4205.55,4172.80,450539,18919.00,37854,
2020-03-06,ULTRACEMCO,EQ,4092.60,4193.30,4010.00,4167.85,4205.55,585749,24153.09,56057,
2020-03-09,ULTRACEMCO,EQ,4070.00,4164.55,3995.00,4097.35,4167.85,588288,24146.88,67061,
2020-03-11,ULTRACEMCO,EQ,4070.00,4111.85,3962.70,3993.40,4097.35,776064,31204.15,80483,
2020-03-12,ULTRACEMCO,EQ,3890.00,3890.00,3612.50,3663.50,3993.40,992102,36976.39,95183,
2020-03-13,ULTRACEMCO,EQ,3470.30,4011.50,3114.00,3788.90,3663.50,1378943,50975.79,89556,
2020-03-16,ULTRACEMCO,EQ,3650.00,3660.00,3405.00,3518.05,3788.90,975878,34590.03,95159,
2020-03-17,ULTRACEMCO,EQ,3520.00,3575.00,3454.70,3470.45,3518.05,563725,19804.49,63664,
2020-03-18,ULTRACEMCO,EQ,3537.90,3537.90,3270.50,3303.55,3470.45,790527,26524.62,82155,
2020-03-19,ULTRACEMCO,EQ,3139.00,3389.75,2955.60,3166.05,3303.55,790263,25349.48,68282,
2020-03-20,ULTRACEMCO,EQ,3185.00,3656.80,3140.35,3573.85,3166.05,826169,28261.36,70221,
2020-03-23,ULTRACEMCO,EQ,3220.00,3290.40,3037.80,3054.85,3573.85,883620,27379.84,117405,
2020-03-24,ULTRACEMCO,EQ,3100.00,3237.20,2967.45,3018.10,3054.85,1105711,34175.79,152781,
2020-03-25,ULTRACEMCO,EQ,2968.20,3290.00,2910.00,3228.60,3018.10,874546,27431.12,135197,
