date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,UNIONBANK,EQ,55.05,55.60,54.15,54.55,54.80,4807629,2638.70,11001,
2020-01-02,UNIONBANK,EQ,54.45,55.45,54.45,55.15,54.55,5754393,3170.66,12002,
2020-01-03,UNIONBANK,EQ,55.10,55.50,54.35,54.75,55.15,5525524,3035.30,12305,
2020-01-06,UNIONBANK,EQ,54.15,54.30,52.80,52.95,54.75,5204531,2766.76,13182,
2020-01-07,UNIONBANK,EQ,53.60,54.30,52.25,52.70,52.95,5527537,2936.71,13641,
2020-01-08,UNIONBANK,EQ,51.90,52.60,51.00,51.95,52.70,4490512,2329.15,11467,
2020-01-09,UNIONBANK,EQ,52.90,53.40,52.25,52.55,51.95,5088100,2686.15,14327,
2020-01-10,UNIONBANK,EQ,52.45,53.45,52.30,52.65,52.55,4761614,2514.38,11603,
2020-01-13,UNIONBANK,EQ,53.30,53.30,52.15,52.55,52.65,3714041,1953.82,9145,
2020-01-14,UNIONBANK,EQ,52.25,52.95,51.85,52.50,52.55,3239557,1700.47,9403,
2020-01-15,UNIONBANK,EQ,52.50,52.90,52.20,52.65,52.50,2829991,1487.18,7755,
2020-01-16,UNIONBANK,EQ,52.80,53.15,52.40,52.75,52.65,3704771,1952.74,12565,
2020-01-17,UNIONBANK,EQ,52.50,53.10,52.20,52.60,52.75,3655362,1925.31,13002,
2020-01-20,UNIONBANK,EQ,52.75,52.85,51.60,52.00,52.60,2391889,1249.39,7169,
2020-01-21,UNIONBANK,EQ,51.80,52.30,51.50,51.75,52.00,2308022,1198.88,7198,
2020-01-22,UNIONBANK,EQ,52.00,52.20,51.30,51.50,51.75,1736721,896.21,5888,
2020-01-23,UNIONBANK,EQ,51.50,52.85,51.35,52.40,51.50,3343402,1744.03,10827,
2020-01-24,UNIONBANK,EQ,52.40,53.00,52.15,52.35,52.40,2862184,1505.27,9103,
2020-01-27,UNIONBANK,EQ,52.00,52.35,51.60,51.85,52.35,1991306,1034.49,9634,
2020-01-28,UNIONBANK,EQ,51.90,52.10,51.00,51.50,51.85,2011311,1038.04,8622,
2020-01-29,UNIONBANK,EQ,51.80,51.95,51.20,51.50,51.50,1710263,882.65,4700,
2020-01-30,UNIONBANK,EQ,51.25,51.50,50.20,50.60,51.50,1971860,1002.14,7121,
2020-01-31,UNIONBANK,EQ,50.90,51.40,49.10,49.90,50.60,2160583,1088.14,7261,
2020-02-03,UNIONBANK,EQ,48.25,48.90,47.35,47.65,48.55,2917775,1395.36,9684,
2020-02-04,UNIONBANK,EQ,47.90,48.40,47.50,48.00,47.65,2484469,1191.19,8888,
2020-02-05,UNIONBANK,EQ,48.20,48.70,48.00,48.50,48.00,1708093,825.75,6133,
2020-02-06,UNIONBANK,EQ,48.50,50.65,48.45,49.00,48.50,4266040,2107.77,12072,
2020-02-07,UNIONBANK,EQ,49.25,49.50,48.55,48.95,49.00,2122619,1042.09,5763,
2020-02-10,UNIONBANK,EQ,49.00,52.40,47.65,50.95,48.95,6161761,3092.66,18964,
2020-02-11,UNIONBANK,EQ,51.90,51.90,49.20,49.75,50.95,5602045,2840.50,17450,
2020-02-12,UNIONBANK,EQ,49.70,50.10,48.55,48.80,49.75,2404887,1180.68,8228,
2020-02-13,UNIONBANK,EQ,48.60,49.40,48.00,48.45,48.80,2720671,1321.34,9861,
2020-02-14,UNIONBANK,EQ,48.45,48.90,47.40,47.75,48.45,2627577,1263.56,10953,
2020-02-17,UNIONBANK,EQ,47.75,47.75,46.55,46.75,47.75,2161371,1014.53,6981,
2020-02-18,UNIONBANK,EQ,46.50,46.80,40.05,43.25,46.75,5665324,2466.37,22952,
2020-02-19,UNIONBANK,EQ,43.50,44.40,43.20,44.20,43.25,2615042,1144.74,11262,
2020-02-20,UNIONBANK,EQ,43.90,44.80,43.70,44.20,44.20,2389438,1057.77,10200,
2020-02-24,UNIONBANK,EQ,43.05,43.70,41.50,42.20,44.20,2115016,903.59,9084,
2020-02-25,UNIONBANK,EQ,42.45,42.65,41.55,42.15,42.20,2322554,975.67,8595,
2020-02-26,UNIONBANK,EQ,41.90,42.30,41.00,41.30,42.15,2347752,971.69,8674,
2020-02-27,UNIONBANK,EQ,41.30,41.30,40.20,40.40,41.30,2026301,820.50,8343,
2020-02-28,UNIONBANK,EQ,38.55,39.40,36.80,37.15,40.40,3523901,1348.23,16597,
2020-03-02,UNIONBANK,EQ,38.00,38.15,36.10,36.35,37.15,2675507,994.88,11491,
2020-03-03,UNIONBANK,EQ,36.70,36.75,35.05,36.30,36.35,3306566,1187.74,11252,
2020-03-04,UNIONBANK,EQ,36.30,38.75,35.35,36.40,36.30,6454043,2362.42,22231,
2020-03-05,UNIONBANK,EQ,36.10,40.00,36.10,39.50,36.40,9531514,3699.13,27259,
2020-03-06,UNIONBANK,EQ,37.05,38.70,36.30,36.70,39.50,4572495,1714.96,17930,
2020-03-09,UNIONBANK,EQ,35.95,35.95,33.55,33.85,36.70,3615525,1242.12,10852,
2020-03-11,UNIONBANK,EQ,34.00,34.50,32.50,32.90,33.85,3551602,1187.83,9946,
2020-03-12,UNIONBANK,EQ,30.20,31.50,28.80,29.05,32.90,4209114,1251.89,12399,
2020-03-13,UNIONBANK,EQ,26.30,31.60,24.40,31.00,29.05,6206307,1793.72,18036,
2020-03-16,UNIONBANK,EQ,29.70,30.05,28.55,29.65,31.00,2682287,792.46,9062,
2020-03-17,UNIONBANK,EQ,30.00,31.10,29.00,29.70,29.65,3188912,956.66,11728,
2020-03-18,UNIONBANK,EQ,30.90,30.90,28.60,29.55,29.70,3020646,890.47,10107,
2020-03-19,UNIONBANK,EQ,28.40,30.40,27.60,28.85,29.55,3077729,900.46,10536,
2020-03-20,UNIONBANK,EQ,29.10,29.90,28.60,29.15,28.85,4874763,1425.96,17011,
2020-03-23,UNIONBANK,EQ,27.15,28.00,25.10,25.80,29.15,2375651,626.16,8768,
2020-03-24,UNIONBANK,EQ,27.30,27.70,25.25,27.40,25.80,2360676,627.06,8288,
2020-03-25,UNIONBANK,EQ,26.50,27.35,26.20,26.85,27.40,1669707,449.75,5611,
2020-03-26,UNIONBANK,EQ,27.10,29.25,26.85,28.20,26.85,2454484,688.89,9237,
2020-03-27,UNIONBANK,EQ,30.00,30.80,28.10,29.05,28.20,3370961,992.27,14543,
2020-03-30,UNIONBANK,EQ,28.85,28.85,27.60,28.35,29.05,1864682,527.72,9053,
2020-03-31,UNIONBANK,EQ,29.65,29.75,28.40,28.70,28.35,1764146,505.86,10415,
2020-04-01,UNIONBANK,EQ,29.20,29.40,28.55,28.75,28.70,1773092,512.42,9676,
2020-04-03,UNIONBANK,EQ,29.00,29.15,28.10,28.60,28.75,1378652,392.18,6256,
2020-04-07,UNIONBANK,EQ,29.75,29.75,28.80,29.00,28.60,1885900,548.52,9248,
2020-04-08,UNIONBANK,EQ,28.80,30.40,28.55,29.00,29.00,2628815,772.63,11567,
2020-04-09,UNIONBANK,EQ,29.15,29.60,28.75,28.80,29.00,3963834,1151.78,16798,
2020-04-13,UNIONBANK,EQ,28.90,28.90,28.20,28.35,28.80,1782854,506.13,8482,
2020-04-15,UNIONBANK,EQ,28.35,29.60,28.35,28.95,28.35,4088717,1186.57,16123,
2020-04-16,UNIONBANK,EQ,28.85,29.60,28.40,29.30,28.95,3600789,1047.95,9073,
2020-04-17,UNIONBANK,EQ,30.20,30.40,28.95,29.10,29.30,4092766,1204.97,19999,
2020-04-20,UNIONBANK,EQ,29.15,30.30,29.05,29.50,29.10,11503934,3415.53,31213,
2020-04-21,UNIONBANK,EQ,29.00,29.05,28.00,28.15,29.50,4163591,1180.43,15403,
2020-04-22,UNIONBANK,EQ,28.15,28.75,28.00,28.45,28.15,4383129,1244.33,10577,
2020-04-23,UNIONBANK,EQ,28.45,28.80,28.30,28.40,28.45,2417163,689.32,6112,
2020-04-24,UNIONBANK,EQ,28.00,28.30,27.60,27.65,28.40,3194665,889.73,9014,
2020-04-27,UNIONBANK,EQ,27.80,27.95,27.35,27.45,27.65,5453976,1507.79,15343,
2020-04-28,UNIONBANK,EQ,27.50,27.60,26.60,26.80,27.45,6277037,1701.09,17179,
2020-04-29,UNIONBANK,EQ,27.00,27.35,26.70,27.05,26.80,4322791,1171.37,10408,
2020-04-30,UNIONBANK,EQ,27.40,27.75,27.15,27.25,27.05,4765418,1307.84,12960,
2020-05-04,UNIONBANK,EQ,26.55,26.75,26.00,26.10,27.25,3334752,875.08,10933,
2020-05-05,UNIONBANK,EQ,26.50,26.50,25.45,25.50,26.10,3831826,988.58,11679,
2020-05-06,UNIONBANK,EQ,25.60,25.65,24.40,24.50,25.50,5048379,1247.60,19736,
2020-05-07,UNIONBANK,EQ,24.50,24.75,24.05,24.10,24.50,4228577,1028.91,20121,
2020-05-08,UNIONBANK,EQ,24.25,24.45,23.60,23.80,24.10,2901279,697.05,9927,
2020-05-11,UNIONBANK,EQ,24.00,24.10,23.60,23.85,23.80,2550899,608.99,8059,
2020-05-12,UNIONBANK,EQ,23.55,24.10,23.25,23.95,23.85,2397272,565.53,9586,
2020-05-13,UNIONBANK,EQ,25.75,25.75,24.40,25.10,23.95,7008283,1751.35,19064,
2020-05-14,UNIONBANK,EQ,25.00,25.30,24.70,24.85,25.10,2629066,656.08,7335,
2020-05-15,UNIONBANK,EQ,24.85,24.95,24.30,24.70,24.85,3201557,786.87,7022,
2020-05-18,UNIONBANK,EQ,24.70,24.70,23.20,23.60,24.70,4069992,963.52,12449,
2020-05-19,UNIONBANK,EQ,23.65,23.85,22.80,22.90,23.60,3836467,887.58,10280,
2020-05-20,UNIONBANK,EQ,22.90,23.20,22.65,23.00,22.90,2252746,516.97,7390,
2020-05-21,UNIONBANK,EQ,23.00,23.60,22.90,23.20,23.00,2767730,644.31,7539,
2020-05-22,UNIONBANK,EQ,23.20,23.60,22.65,22.85,23.20,3422439,787.73,10991,
2020-05-26,UNIONBANK,EQ,23.05,23.25,22.85,22.90,22.85,1495197,343.45,4887,
2020-05-27,UNIONBANK,EQ,22.90,23.50,22.65,23.25,22.90,3265394,754.55,10336,
2020-05-28,UNIONBANK,EQ,23.30,24.00,23.30,23.40,23.25,2766124,653.00,7948,
2020-05-29,UNIONBANK,EQ,23.30,23.80,23.15,23.65,23.40,2468377,580.72,7670,
2020-06-01,UNIONBANK,EQ,24.05,25.90,24.00,25.50,23.65,6988297,1749.82,18193,
2020-06-02,UNIONBANK,EQ,25.50,25.85,25.15,25.65,25.50,3596759,921.34,8995,
2020-06-03,UNIONBANK,EQ,26.00,28.85,26.00,27.90,25.65,14212915,3924.45,30605,
2020-06-04,UNIONBANK,EQ,28.00,30.50,28.00,29.15,27.90,13887368,4053.05,30937,
2020-06-05,UNIONBANK,EQ,30.00,30.60,29.40,30.35,29.15,8523037,2558.46,18099,
2020-06-08,UNIONBANK,EQ,31.30,31.70,29.30,29.55,30.35,9683162,2961.52,22244,
2020-06-09,UNIONBANK,EQ,29.80,30.30,28.05,28.40,29.55,8142656,2389.23,19141,
2020-06-10,UNIONBANK,EQ,28.65,29.70,28.35,29.30,28.40,5552416,1612.37,12730,
2020-06-11,UNIONBANK,EQ,29.50,29.65,28.55,28.75,29.30,6409257,1869.66,12901,
2020-06-12,UNIONBANK,EQ,27.55,28.80,27.10,28.65,28.75,4620494,1299.22,11368,
2020-06-15,UNIONBANK,EQ,28.65,29.95,28.15,29.25,28.65,8310254,2416.43,15872,
2020-06-16,UNIONBANK,EQ,30.15,30.40,27.85,28.90,29.25,6271601,1841.88,13653,
2020-06-17,UNIONBANK,EQ,28.85,29.25,28.10,29.00,28.90,4026682,1163.80,8464,
2020-06-18,UNIONBANK,EQ,28.95,29.65,28.90,29.40,29.00,3798379,1115.07,8562,
2020-06-19,UNIONBANK,EQ,29.80,31.70,29.30,30.70,29.40,14607758,4479.17,27564,
2020-06-22,UNIONBANK,EQ,31.00,33.30,31.00,32.80,30.70,15636679,5051.48,33642,
2020-06-23,UNIONBANK,EQ,33.85,36.55,33.50,35.95,32.80,24991473,8813.98,49672,
2020-06-24,UNIONBANK,EQ,36.50,36.50,32.30,32.90,35.95,23197145,7915.17,48893,
2020-06-25,UNIONBANK,EQ,32.65,33.50,31.80,33.30,32.90,6228569,2051.72,18203,
2020-06-26,UNIONBANK,EQ,33.80,35.40,33.25,33.85,33.30,6842752,2321.57,15374,
2020-06-29,UNIONBANK,EQ,33.55,33.55,32.35,32.75,33.85,4223319,1382.72,12402,
2020-06-30,UNIONBANK,EQ,33.05,33.30,31.70,31.80,32.75,3493493,1131.93,10652,
2020-07-01,UNIONBANK,EQ,32.00,32.60,31.55,32.50,31.80,4278170,1378.16,10318,
2020-07-02,UNIONBANK,EQ,32.50,32.95,32.10,32.40,32.50,3526830,1147.19,8590,
2020-07-03,UNIONBANK,EQ,32.70,32.75,32.00,32.05,32.40,2758761,888.21,7528,
2020-07-06,UNIONBANK,EQ,32.35,32.50,32.10,32.20,32.05,2888852,931.38,7249,
2020-07-07,UNIONBANK,EQ,32.40,32.40,32.00,32.15,32.20,2295939,737.56,6206,
2020-07-08,UNIONBANK,EQ,32.30,34.00,32.15,32.50,32.15,13532163,4510.17,31458,
2020-07-09,UNIONBANK,EQ,32.80,33.15,32.50,32.70,32.50,3650680,1196.91,8594,
2020-07-10,UNIONBANK,EQ,32.50,32.60,31.75,32.05,32.70,3550543,1139.17,11052,
2020-07-13,UNIONBANK,EQ,32.10,32.45,31.35,31.55,32.05,2943967,932.45,9230,
2020-07-14,UNIONBANK,EQ,31.20,31.40,30.25,30.45,31.55,3246712,993.10,14491,
2020-07-15,UNIONBANK,EQ,30.70,31.00,30.10,30.15,30.45,2398575,731.95,7927,
2020-07-16,UNIONBANK,EQ,30.15,30.20,29.60,29.90,30.15,2581989,768.72,6836,
2020-07-17,UNIONBANK,EQ,29.90,31.65,29.75,31.30,29.90,4796821,1467.07,11050,
2020-07-20,UNIONBANK,EQ,31.55,31.70,30.85,31.05,31.30,4122434,1287.03,10919,
2020-07-21,UNIONBANK,EQ,31.65,31.85,31.00,31.15,31.05,2655947,831.14,7341,
2020-07-22,UNIONBANK,EQ,31.25,31.35,30.55,30.80,31.15,2261959,697.90,6171,
2020-07-23,UNIONBANK,EQ,30.75,31.25,30.60,30.85,30.80,2765242,854.56,6420,
2020-07-24,UNIONBANK,EQ,30.70,30.75,30.30,30.55,30.85,2084425,636.05,6715,
2020-07-27,UNIONBANK,EQ,30.40,30.55,29.50,29.55,30.55,3252249,965.84,13114,
2020-07-28,UNIONBANK,EQ,29.50,29.85,28.90,29.20,29.55,2760742,807.41,13279,
2020-07-29,UNIONBANK,EQ,29.50,30.45,29.20,29.70,29.20,4300479,1282.70,13060,
2020-07-30,UNIONBANK,EQ,30.00,30.10,29.15,29.30,29.70,2010269,593.27,5701,
2020-07-31,UNIONBANK,EQ,29.00,29.35,28.80,29.00,29.30,2359590,685.08,6399,
2020-08-03,UNIONBANK,EQ,29.00,29.40,28.90,29.05,29.00,2520914,733.33,5468,
2020-08-04,UNIONBANK,EQ,29.40,29.40,29.00,29.10,29.05,1649945,479.95,5400,
2020-08-05,UNIONBANK,EQ,29.15,30.10,29.10,29.45,29.10,2796376,824.62,8269,
2020-08-06,UNIONBANK,EQ,29.40,29.70,29.10,29.40,29.45,2329128,684.94,7374,
2020-08-07,UNIONBANK,EQ,29.25,29.60,29.05,29.40,29.40,2388321,701.85,6326,
