date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2024-06-07,UNITDSPR,EQ,1306.45,1320.00,1294.65,1307.55,1305.45,1151764,15018.00,37661,
2024-06-10,UNITDSPR,EQ,1327.00,1327.00,1307.15,1315.10,1307.55,654963,8613.91,20675,
2024-06-11,UNITDSPR,EQ,1316.10,1334.85,1312.00,1317.70,1315.10,625503,8257.33,31745,
2024-06-12,UNITDSPR,EQ,1318.70,1318.70,1284.35,1290.85,1317.70,1374418,17826.02,41821,
2024-06-13,UNITDSPR,EQ,1292.00,1300.00,1272.40,1275.45,1290.85,1049119,13430.23,39515,
2024-06-14,UNITDSPR,EQ,1282.55,1282.55,1258.20,1269.00,1275.45,1574896,19996.11,48177,
2024-06-18,UNITDSPR,EQ,1265.00,1274.85,1237.00,1252.60,1269.00,3609667,44884.53,72132,
2024-06-19,UNITDSPR,EQ,1255.00,1281.25,1245.75,1272.85,1252.60,1292892,16421.12,65620,
2024-06-20,UNITDSPR,EQ,1272.95,1278.75,1259.00,1265.55,1272.85,388681,4914.99,17586,
2024-06-21,UNITDSPR,EQ,1275.00,1275.95,1255.00,1260.65,1265.55,580871,7337.40,28576,
2024-06-24,UNITDSPR,EQ,1255.00,1301.85,1245.75,1298.35,1260.65,1700427,21879.65,38116,
2024-06-25,UNITDSPR,EQ,1309.75,1309.75,1275.55,1281.90,1298.35,612621,7893.46,28109,
2024-06-26,UNITDSPR,EQ,1279.70,1291.20,1270.00,1276.80,1281.90,370291,4739.83,23979,
2024-06-27,UNITDSPR,EQ,1265.05,1294.85,1263.85,1287.80,1276.80,619542,7936.78,31650,
2024-06-28,UNITDSPR,EQ,1287.00,1298.00,1272.75,1276.50,1287.80,632972,8117.06,39221,
2024-07-01,UNITDSPR,EQ,1261.10,1276.65,1255.25,1267.80,1276.50,533705,6758.16,29819,
2024-07-02,UNITDSPR,EQ,1274.00,1292.00,1263.95,1274.95,1267.80,749206,9577.25,53502,
2024-07-03,UNITDSPR,EQ,1280.00,1286.15,1268.10,1271.50,1274.95,420654,5355.65,25234,
2024-07-04,UNITDSPR,EQ,1265.25,1281.95,1257.00,1259.40,1271.50,375289,4743.02,23694,
2024-07-05,UNITDSPR,EQ,1259.40,1267.75,1249.30,1254.15,1259.40,779976,9810.58,31441,
2024-07-08,UNITDSPR,EQ,1257.00,1279.00,1257.00,1272.10,1254.15,2122654,26964.36,73898,
2024-07-09,UNITDSPR,EQ,1279.00,1306.85,1276.10,1288.25,1272.10,2432990,31490.83,48537,
2024-07-10,UNITDSPR,EQ,1289.75,1295.45,1267.00,1281.05,1288.25,854243,10924.23,40586,
2024-07-11,UNITDSPR,EQ,1280.00,1294.10,1274.70,1284.50,1281.05,682041,8744.59,30612,
2024-07-12,UNITDSPR,EQ,1284.50,1292.70,1273.20,1289.65,1284.50,703819,9045.05,32932,
2024-07-15,UNITDSPR,EQ,1289.65,1308.00,1275.95,1303.70,1289.65,551101,7137.32,30545,
2024-07-16,UNITDSPR,EQ,1308.00,1317.45,1292.30,1298.60,1303.70,1048505,13671.10,43931,
2024-07-18,UNITDSPR,EQ,1298.00,1302.00,1282.85,1299.45,1298.60,558296,7231.83,35184,
2024-07-19,UNITDSPR,EQ,1306.00,1314.65,1288.85,1297.75,1299.45,1365917,17806.83,89670,
2024-07-22,UNITDSPR,EQ,1295.05,1315.00,1292.50,1308.10,1297.75,1066896,13949.26,45584,
2024-07-23,UNITDSPR,EQ,1317.50,1335.65,1263.55,1332.00,1308.10,1093010,14301.43,75043,
2024-07-24,UNITDSPR,EQ,1360.00,1417.30,1342.00,1382.85,1332.00,6354785,88625.53,181178,
2024-07-25,UNITDSPR,EQ,1374.00,1450.00,1337.85,1443.80,1382.85,3367113,47853.24,129300,
2024-07-26,UNITDSPR,EQ,1441.05,1442.70,1410.75,1415.40,1443.80,892506,12689.36,42904,
2024-07-29,UNITDSPR,EQ,1430.00,1434.95,1406.30,1421.10,1415.40,860229,12205.16,62506,
2024-07-30,UNITDSPR,EQ,1410.00,1430.00,1404.40,1409.25,1421.10,394332,5590.08,38659,
2024-07-31,UNITDSPR,EQ,1413.85,1424.50,1406.25,1413.30,1409.25,940385,13286.66,50890,
2024-08-01,UNITDSPR,EQ,1411.00,1421.00,1406.05,1413.75,1413.30,489925,6919.65,28748,
2024-08-02,UNITDSPR,EQ,1400.00,1431.00,1394.10,1421.00,1413.75,1436552,20409.84,43302,
2024-08-05,UNITDSPR,EQ,1386.00,1435.85,1382.65,1400.25,1421.00,1199119,16898.08,63992,
2024-08-06,UNITDSPR,EQ,1400.30,1428.45,1391.00,1411.10,1400.25,396031,5606.79,28802,
2024-08-07,UNITDSPR,EQ,1425.10,1466.00,1421.25,1462.80,1411.10,1689987,24560.46,89064,
2024-08-08,UNITDSPR,EQ,1470.00,1470.40,1455.30,1459.80,1462.80,552871,8083.44,46628,
2024-08-09,UNITDSPR,EQ,1459.90,1480.40,1446.10,1454.95,1459.80,528351,7756.83,46062,
2024-08-12,UNITDSPR,EQ,1449.95,1450.00,1414.00,1418.00,1454.95,1029967,14725.62,37020,
2024-08-13,UNITDSPR,EQ,1424.90,1429.25,1400.00,1403.20,1418.00,778303,10989.15,31960,
2024-08-14,UNITDSPR,EQ,1406.00,1407.95,1391.20,1404.55,1403.20,363536,5091.42,31204,
2024-08-16,UNITDSPR,EQ,1405.00,1417.45,1395.40,1406.30,1404.55,904222,12678.95,44579,
2024-08-19,UNITDSPR,EQ,1409.30,1423.75,1398.85,1402.90,1406.30,828423,11663.30,54490,
2024-08-20,UNITDSPR,EQ,1402.90,1411.45,1398.75,1407.25,1402.90,410409,5765.92,20337,
2024-08-21,UNITDSPR,EQ,1412.90,1437.05,1402.00,1431.65,1407.25,614100,8735.58,25488,
2024-08-22,UNITDSPR,EQ,1444.00,1463.00,1432.20,1451.80,1431.65,1011531,14692.97,45916,
2024-08-23,UNITDSPR,EQ,1458.00,1458.00,1424.90,1429.65,1451.80,487071,6993.83,30433,
2024-08-26,UNITDSPR,EQ,1438.00,1459.95,1424.50,1457.45,1429.65,833325,12077.95,46933,
2024-08-27,UNITDSPR,EQ,1465.00,1466.50,1425.00,1428.95,1457.45,580798,8350.04,36288,
2024-08-28,UNITDSPR,EQ,1450.05,1457.85,1432.00,1448.30,1428.95,1221654,17651.08,51678,
2024-08-29,UNITDSPR,EQ,1458.00,1458.00,1430.20,1448.85,1448.30,409294,5905.33,21238,
2024-08-30,UNITDSPR,EQ,1457.00,1484.35,1432.65,1474.35,1448.85,2319735,34057.42,74882,
2024-09-02,UNITDSPR,EQ,1485.00,1495.95,1474.60,1484.85,1474.35,817883,12137.34,53906,
2024-09-03,UNITDSPR,EQ,1490.00,1503.15,1475.00,1478.90,1484.85,702946,10459.74,54711,
2024-09-04,UNITDSPR,EQ,1475.00,1507.00,1465.30,1499.35,1478.90,590555,8819.98,44612,
2024-09-05,UNITDSPR,EQ,1514.00,1514.00,1481.75,1485.00,1499.35,689394,10309.93,37164,
2024-09-06,UNITDSPR,EQ,1482.05,1489.90,1453.45,1461.70,1485.00,712351,10486.20,71616,
2024-09-09,UNITDSPR,EQ,1463.65,1506.90,1463.65,1504.05,1461.70,1791287,26621.09,59721,
