date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,VBL,EQ,706.00,713.55,698.00,699.20,708.60,75101,527.34,3510,
2020-01-02,VBL,EQ,702.65,711.40,698.85,706.10,699.20,102604,725.97,6163,
2020-01-03,VBL,EQ,704.10,709.50,699.10,702.40,706.10,90903,639.60,8559,
2020-01-06,VBL,EQ,702.00,702.00,684.75,699.85,702.40,67054,467.08,2979,
2020-01-07,VBL,EQ,696.05,704.25,689.75,693.40,699.85,114262,794.17,6926,
2020-01-08,VBL,EQ,690.00,710.00,686.75,702.60,693.40,153723,1075.78,10164,
2020-01-09,VBL,EQ,708.00,722.00,704.85,715.75,702.60,148382,1058.49,10655,
2020-01-10,VBL,EQ,716.00,745.00,716.00,734.85,715.75,315782,2317.39,11964,
2020-01-13,VBL,EQ,741.40,749.65,731.65,735.40,734.85,141473,1044.22,7324,
2020-01-14,VBL,EQ,740.00,742.00,720.00,736.10,735.40,90440,660.53,10994,
2020-01-15,VBL,EQ,737.60,754.80,731.25,739.30,736.10,198412,1482.50,8657,
2020-01-16,VBL,EQ,741.00,752.00,729.55,745.10,739.30,71207,527.05,6260,
2020-01-17,VBL,EQ,746.40,764.00,746.40,751.70,745.10,190164,1437.69,12646,
2020-01-20,VBL,EQ,751.00,771.00,745.50,761.45,751.70,184445,1402.11,9421,
2020-01-21,VBL,EQ,763.00,792.00,761.80,788.10,761.45,421368,3292.26,23086,
2020-01-22,VBL,EQ,794.80,804.00,777.05,794.55,788.10,345344,2744.49,15193,
2020-01-23,VBL,EQ,796.50,853.00,791.15,836.65,794.55,639734,5237.24,24091,
2020-01-24,VBL,EQ,837.00,853.90,837.00,849.70,836.65,233960,1986.44,14175,
2020-01-27,VBL,EQ,847.90,870.00,845.00,848.35,849.70,220113,1891.71,14557,
2020-01-28,VBL,EQ,841.25,847.95,810.00,831.80,848.35,129689,1074.96,14307,
2020-01-29,VBL,EQ,833.35,839.85,783.70,808.10,831.80,167598,1349.85,10954,
2020-01-30,VBL,EQ,810.00,819.00,750.00,754.60,808.10,309312,2370.58,18756,
2020-01-31,VBL,EQ,757.00,779.55,746.30,767.10,754.60,257968,1965.27,14218,
2020-02-03,VBL,EQ,760.00,802.00,759.95,796.45,765.45,156796,1227.19,11765,
2020-02-04,VBL,EQ,808.95,830.00,803.30,824.25,796.45,396280,3217.32,12205,
2020-02-05,VBL,EQ,817.00,826.00,795.05,804.75,824.25,178776,1442.50,9308,
2020-02-06,VBL,EQ,800.20,809.15,771.20,776.25,804.75,299567,2346.19,8899,
2020-02-07,VBL,EQ,780.00,850.00,780.00,843.25,776.25,1483154,12278.40,43622,
2020-02-10,VBL,EQ,843.25,862.95,813.00,830.10,843.25,317055,2656.40,18647,
2020-02-11,VBL,EQ,835.75,848.95,805.00,809.75,830.10,213421,1743.69,10678,
2020-02-12,VBL,EQ,806.00,820.00,803.00,814.70,809.75,135832,1103.10,7209,
2020-02-13,VBL,EQ,817.50,837.90,804.55,825.95,814.70,161376,1332.69,7360,
2020-02-14,VBL,EQ,829.00,834.80,815.10,819.45,825.95,72467,598.04,5716,
2020-02-17,VBL,EQ,824.90,824.90,800.00,805.35,819.45,80096,646.20,4430,
2020-02-18,VBL,EQ,806.00,821.75,781.05,808.15,805.35,100944,804.38,8249,
2020-02-19,VBL,EQ,815.85,819.80,793.25,798.15,808.15,295137,2373.80,14649,
2020-02-20,VBL,EQ,801.95,836.65,800.05,819.05,798.15,247308,2028.44,17237,
2020-02-24,VBL,EQ,814.80,820.00,805.00,808.85,819.05,226796,1836.71,22556,
2020-02-25,VBL,EQ,815.00,823.45,805.10,810.45,808.85,186645,1514.88,19775,
2020-02-26,VBL,EQ,806.80,849.85,806.75,838.15,810.45,644725,5306.82,20217,
2020-02-27,VBL,EQ,840.00,859.00,815.20,817.50,838.15,312016,2599.25,16463,
2020-02-28,VBL,EQ,806.10,823.95,790.10,813.10,817.50,383613,3100.87,23425,
2020-03-02,VBL,EQ,820.00,832.95,805.10,809.05,813.10,381870,3120.54,22896,
2020-03-03,VBL,EQ,809.00,830.00,807.05,821.90,809.05,239739,1966.87,20378,
2020-03-04,VBL,EQ,820.25,824.35,770.00,783.80,821.90,727857,5800.40,19853,
2020-03-05,VBL,EQ,792.00,792.00,760.30,763.70,783.80,227678,1746.99,23980,
2020-03-06,VBL,EQ,742.00,794.00,742.00,784.95,763.70,142258,1088.37,8794,
2020-03-09,VBL,EQ,751.25,778.00,726.00,743.50,784.95,578814,4291.09,18117,
2020-03-11,VBL,EQ,743.75,796.65,726.10,782.70,743.50,417187,3211.03,32496,
2020-03-12,VBL,EQ,770.80,770.80,706.05,755.70,782.70,305404,2266.43,18099,
2020-03-13,VBL,EQ,701.10,780.00,605.10,775.35,755.70,129143,961.60,9144,
2020-03-16,VBL,EQ,745.00,747.95,695.55,704.40,775.35,148210,1073.70,12250,
2020-03-17,VBL,EQ,703.00,743.95,686.55,709.05,704.40,231000,1652.10,19398,
2020-03-18,VBL,EQ,717.00,725.55,619.45,660.80,709.05,299300,1988.93,14665,
2020-03-19,VBL,EQ,612.00,669.85,545.30,653.50,660.80,379756,2377.81,42718,
2020-03-20,VBL,EQ,642.05,663.70,567.00,602.75,653.50,226706,1437.34,24038,
2020-03-23,VBL,EQ,482.20,609.00,482.20,586.30,602.75,248464,1370.20,15331,
2020-03-24,VBL,EQ,580.00,620.00,532.40,562.40,586.30,305620,1720.75,20562,
2020-03-25,VBL,EQ,575.00,583.00,525.75,558.90,562.40,192212,1058.84,17441,
2020-03-26,VBL,EQ,569.95,618.05,560.00,596.95,558.90,193502,1148.31,20836,
2020-03-27,VBL,EQ,614.00,625.85,555.60,567.05,596.95,132349,771.24,11469,
2020-03-30,VBL,EQ,538.70,580.00,525.10,530.20,567.05,171852,935.40,11909,
2020-03-31,VBL,EQ,542.25,550.00,510.00,529.45,530.20,242523,1303.01,21382,
2020-04-01,VBL,EQ,534.90,549.00,513.25,537.45,529.45,163409,866.45,8208,
2020-04-03,VBL,EQ,544.90,560.00,500.00,537.50,537.45,257369,1376.29,23398,
2020-04-07,VBL,EQ,559.80,559.80,525.65,531.90,537.50,316166,1700.24,26515,
2020-04-08,VBL,EQ,544.70,547.20,525.00,542.95,531.90,222743,1198.56,10219,
2020-04-09,VBL,EQ,555.00,589.90,545.10,578.00,542.95,230851,1315.43,14944,
2020-04-13,VBL,EQ,580.00,595.00,547.15,555.30,578.00,197647,1125.06,10765,
2020-04-15,VBL,EQ,560.00,589.00,545.05,567.35,555.30,330863,1890.59,28366,
2020-04-16,VBL,EQ,569.20,585.00,556.00,577.35,567.35,158632,908.62,14770,
2020-04-17,VBL,EQ,594.55,616.90,580.00,605.10,577.35,264953,1589.79,18166,
2020-04-20,VBL,EQ,609.00,660.00,590.15,650.55,605.10,346322,2176.74,17951,
2020-04-21,VBL,EQ,645.00,650.00,600.05,607.15,650.55,178639,1097.17,7950,
2020-04-22,VBL,EQ,610.00,658.00,606.55,651.35,607.15,258031,1656.11,14644,
2020-04-23,VBL,EQ,653.00,671.35,615.00,622.90,651.35,179460,1162.70,10362,
2020-04-24,VBL,EQ,613.10,664.50,612.20,651.05,622.90,418368,2714.89,18830,
2020-04-27,VBL,EQ,663.90,666.85,637.90,645.75,651.05,134298,874.47,7014,
2020-04-28,VBL,EQ,651.60,669.00,643.50,662.20,645.75,200416,1310.27,8407,
2020-04-29,VBL,EQ,670.00,685.00,655.00,658.60,662.20,177837,1190.01,8670,
2020-04-30,VBL,EQ,662.30,688.00,660.00,669.55,658.60,288102,1950.67,25038,
2020-05-04,VBL,EQ,663.50,692.00,612.95,616.70,669.55,340108,2201.73,19828,
2020-05-05,VBL,EQ,634.70,649.00,612.00,620.35,616.70,880185,5519.29,28053,
2020-05-06,VBL,EQ,635.95,635.95,612.00,616.00,620.35,300910,1879.65,16996,
2020-05-07,VBL,EQ,619.90,619.90,572.00,600.00,616.00,621090,3673.91,31754,
2020-05-08,VBL,EQ,604.00,624.75,604.00,620.40,600.00,223698,1379.10,11045,
2020-05-11,VBL,EQ,625.00,630.00,600.20,617.20,620.40,321984,1987.25,14232,
2020-05-12,VBL,EQ,619.00,629.90,605.20,623.70,617.20,212941,1315.17,10623,
2020-05-13,VBL,EQ,641.00,668.90,622.00,660.00,623.70,306605,1978.64,13825,
2020-05-14,VBL,EQ,647.50,659.65,638.00,643.45,660.00,189588,1224.78,16499,
2020-05-15,VBL,EQ,643.00,656.95,628.00,632.90,643.45,187989,1207.12,11256,
2020-05-18,VBL,EQ,632.15,636.90,611.00,626.70,632.90,140280,871.31,12971,
2020-05-19,VBL,EQ,639.70,639.70,612.00,616.00,626.70,199378,1231.94,12009,
2020-05-20,VBL,EQ,610.10,622.55,600.00,602.85,616.00,212698,1295.68,9506,
