date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,VEDL,EQ,152.80,155.15,151.45,154.60,152.45,14266524,21911.05,67844,
2020-01-02,VEDL,EQ,155.30,159.85,155.30,159.45,154.60,17137897,27054.21,88006,
2020-01-03,VEDL,EQ,158.40,160.90,156.70,157.75,159.45,12108687,19206.29,52394,
2020-01-06,VEDL,EQ,156.90,157.70,150.05,150.55,157.75,11218355,17203.94,53420,
2020-01-07,VEDL,EQ,152.80,156.80,152.55,156.00,150.55,24417974,37927.44,104963,
2020-01-08,VEDL,EQ,153.25,158.20,152.45,157.35,156.00,18095375,28209.18,66403,
2020-01-09,VEDL,EQ,159.40,160.20,157.40,158.15,157.35,11725302,18593.53,54557,
2020-01-10,VEDL,EQ,159.50,163.30,157.60,159.95,158.15,20995863,33819.06,92376,
2020-01-13,VEDL,EQ,160.50,161.45,158.25,160.45,159.95,9331492,14945.43,41829,
2020-01-14,VEDL,EQ,161.40,166.10,161.00,165.00,160.45,19728091,32443.00,92637,
2020-01-15,VEDL,EQ,165.00,165.45,161.80,164.65,165.00,11633598,19076.48,52909,
2020-01-16,VEDL,EQ,162.90,163.70,160.40,162.25,164.65,11990967,19407.44,49793,
2020-01-17,VEDL,EQ,162.70,162.70,159.00,159.50,162.25,9518702,15293.51,42760,
2020-01-20,VEDL,EQ,159.35,159.90,156.20,156.90,159.50,7944434,12495.85,36352,
2020-01-21,VEDL,EQ,157.00,158.40,153.55,153.90,156.90,10481008,16298.27,46124,
2020-01-22,VEDL,EQ,155.85,158.25,152.80,153.20,153.90,15503961,24117.86,81461,
2020-01-23,VEDL,EQ,153.60,155.40,152.35,154.15,153.20,12087029,18617.89,63288,
2020-01-24,VEDL,EQ,155.00,157.10,153.75,155.90,154.15,8012015,12489.28,41537,
2020-01-27,VEDL,EQ,153.40,153.40,148.10,148.85,155.90,13357039,20109.32,76627,
2020-01-28,VEDL,EQ,147.75,147.75,141.55,142.20,148.85,22438597,32333.74,122737,
2020-01-29,VEDL,EQ,144.45,145.40,141.90,142.20,142.20,12603444,18120.22,65583,
2020-01-30,VEDL,EQ,142.15,143.40,139.80,140.95,142.20,15625276,22104.31,71238,
2020-01-31,VEDL,EQ,140.85,141.70,137.50,137.90,140.95,13980768,19465.41,58677,
2020-02-03,VEDL,EQ,134.35,136.80,132.85,134.15,134.90,13658383,18368.44,66261,
2020-02-04,VEDL,EQ,135.90,138.90,134.80,138.55,134.15,11370911,15620.56,54605,
2020-02-05,VEDL,EQ,139.30,143.90,137.60,143.10,138.55,17304767,24316.11,72721,
2020-02-06,VEDL,EQ,144.85,146.80,142.70,143.85,143.10,15736536,22784.67,69080,
2020-02-07,VEDL,EQ,143.85,145.30,141.75,144.60,143.85,9671106,13954.00,35383,
2020-02-10,VEDL,EQ,143.70,143.70,139.55,140.30,144.60,10029897,14104.72,45696,
2020-02-11,VEDL,EQ,141.65,143.60,140.20,140.75,140.30,9087616,12916.46,38229,
2020-02-12,VEDL,EQ,142.00,143.90,141.15,141.55,140.75,9280214,13209.07,46946,
2020-02-13,VEDL,EQ,142.35,143.35,140.30,142.50,141.55,6820884,9683.15,33228,
2020-02-14,VEDL,EQ,142.70,143.90,140.75,141.10,142.50,6336170,9019.30,30921,
2020-02-17,VEDL,EQ,141.30,143.80,140.80,142.10,141.10,8475514,12073.65,41891,
2020-02-18,VEDL,EQ,141.75,141.75,137.50,140.55,142.10,13205238,18388.93,67595,
2020-02-19,VEDL,EQ,142.00,144.20,141.60,142.65,140.55,8824394,12607.30,37962,
2020-02-20,VEDL,EQ,141.80,144.75,140.80,142.35,142.65,11236035,16068.07,42130,
2020-02-24,VEDL,EQ,139.85,139.95,132.30,133.20,142.35,22666897,30792.95,108574,
2020-02-25,VEDL,EQ,134.40,135.90,132.05,132.70,133.20,14590593,19498.44,74110,
2020-02-26,VEDL,EQ,131.00,133.70,129.35,130.25,132.70,14605029,19233.78,64565,
2020-02-27,VEDL,EQ,130.00,131.40,126.40,130.55,130.25,15600307,20122.92,72698,
2020-02-28,VEDL,EQ,126.00,126.00,112.10,114.00,130.55,57363091,67530.49,196760,
2020-03-02,VEDL,EQ,117.55,119.40,109.00,110.95,114.00,32732879,37911.20,114317,
2020-03-03,VEDL,EQ,114.25,121.00,113.65,119.55,110.95,36975433,43360.32,140421,
2020-03-04,VEDL,EQ,119.00,120.00,115.10,119.35,119.55,38623129,45359.99,128090,
2020-03-05,VEDL,EQ,118.50,122.20,116.00,117.10,119.35,26357440,31097.39,83865,
2020-03-06,VEDL,EQ,111.70,113.40,108.10,111.05,117.10,16482554,18390.43,64906,
2020-03-09,VEDL,EQ,104.00,105.45,93.40,94.90,111.05,38812756,38104.41,168779,
2020-03-11,VEDL,EQ,92.00,95.50,91.25,92.00,94.90,33275612,31058.67,119713,
2020-03-12,VEDL,EQ,84.75,85.50,78.25,79.85,92.00,38860033,31879.06,149165,
2020-03-13,VEDL,EQ,73.15,86.60,68.90,84.05,79.85,45056264,35696.07,179642,
2020-03-16,VEDL,EQ,78.00,80.70,74.25,74.85,84.05,33777113,26102.00,149270,
2020-03-17,VEDL,EQ,76.55,80.45,74.40,75.00,74.85,32830615,25469.68,116885,
2020-03-18,VEDL,EQ,78.00,78.65,72.10,72.95,75.00,30564821,23069.42,120299,
2020-03-19,VEDL,EQ,69.45,73.65,67.80,69.35,72.95,31319910,22160.97,120150,
2020-03-20,VEDL,EQ,72.40,78.00,70.40,75.45,69.35,29770505,21665.77,135347,
2020-03-23,VEDL,EQ,67.95,71.30,61.65,62.65,75.45,22554580,14720.80,121239,
2020-03-24,VEDL,EQ,67.50,68.45,62.35,62.80,62.65,30625806,19752.68,115223,
2020-03-25,VEDL,EQ,62.70,65.00,62.35,64.20,62.80,29906847,19115.09,86458,
2020-03-26,VEDL,EQ,65.60,69.20,63.50,65.80,64.20,29684035,19805.94,114668,
2020-03-27,VEDL,EQ,68.55,68.85,63.00,63.75,65.80,26206043,17104.53,99533,
2020-03-30,VEDL,EQ,61.80,62.90,60.20,61.55,63.75,17613254,10886.10,79720,
2020-03-31,VEDL,EQ,63.45,67.00,62.60,64.70,61.55,44630391,29100.57,142087,
2020-04-01,VEDL,EQ,65.00,65.40,62.35,62.65,64.70,23338192,14771.24,92556,
2020-04-03,VEDL,EQ,64.00,64.45,62.20,62.80,62.65,24226287,15216.52,77561,
2020-04-07,VEDL,EQ,66.30,67.70,65.10,66.75,62.80,45746171,30416.66,124903,
2020-04-08,VEDL,EQ,65.95,73.40,65.00,70.30,66.75,49394737,34533.83,163600,
2020-04-09,VEDL,EQ,73.00,77.30,72.80,76.80,70.30,41602363,31226.03,146666,
2020-04-13,VEDL,EQ,77.60,79.45,73.65,78.30,76.80,37471015,28764.63,116695,
2020-04-15,VEDL,EQ,79.50,83.20,77.60,78.60,78.30,43610924,35022.27,154487,
2020-04-16,VEDL,EQ,77.80,84.65,77.15,82.70,78.60,54489625,45202.05,175839,
2020-04-17,VEDL,EQ,87.00,87.00,82.85,84.10,82.70,30176554,25388.29,109316,
