date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,WIPRO,EQ,246.50,248.65,246.20,247.70,245.80,1413866,3502.93,14240,
2020-01-02,WIPRO,EQ,246.60,249.90,246.35,248.30,247.70,1443966,3586.71,19476,
2020-01-03,WIPRO,EQ,249.50,252.70,247.35,251.10,248.30,3381404,8486.89,38677,
2020-01-06,WIPRO,EQ,251.00,254.45,250.15,252.15,251.10,4566695,11526.37,42374,
2020-01-07,WIPRO,EQ,253.25,256.35,250.20,255.20,252.15,4402787,11183.30,39798,
2020-01-08,WIPRO,EQ,254.00,256.15,252.55,254.80,255.20,2794410,7113.76,33853,
2020-01-09,WIPRO,EQ,254.25,256.50,252.65,253.65,254.80,2495023,6345.52,28366,
2020-01-10,WIPRO,EQ,253.95,255.20,251.00,251.75,253.65,2056577,5206.22,31607,
2020-01-13,WIPRO,EQ,254.00,257.90,252.85,254.80,251.75,6963599,17782.62,56180,
2020-01-14,WIPRO,EQ,256.85,258.35,254.55,257.20,254.80,7296777,18718.50,62567,
2020-01-15,WIPRO,EQ,254.00,256.00,246.60,248.25,257.20,10140451,25235.42,82450,
2020-01-16,WIPRO,EQ,248.00,252.60,247.00,250.45,248.25,8811836,22041.92,63303,
2020-01-17,WIPRO,EQ,252.00,253.90,249.65,251.10,250.45,4140818,10428.22,38092,
2020-01-20,WIPRO,EQ,250.80,250.80,247.20,248.00,251.10,1908583,4742.51,19877,
2020-01-21,WIPRO,EQ,247.90,248.20,246.00,247.10,248.00,1507942,3726.61,26134,
2020-01-22,WIPRO,EQ,248.60,251.95,245.40,245.85,247.10,3400424,8429.48,51607,
2020-01-23,WIPRO,EQ,246.45,249.10,245.35,248.70,245.85,1696544,4202.83,30500,
2020-01-24,WIPRO,EQ,248.65,249.45,246.25,247.60,248.70,1710777,4242.70,23039,
2020-01-27,WIPRO,EQ,247.90,247.90,244.75,245.35,247.60,1653497,4059.69,19616,
2020-01-28,WIPRO,EQ,245.90,246.10,241.80,244.05,245.35,2136181,5199.84,38147,
2020-01-29,WIPRO,EQ,244.60,247.40,243.25,246.75,244.05,2004689,4936.01,33122,
2020-01-30,WIPRO,EQ,247.60,247.60,240.20,240.70,246.75,2147465,5205.57,29602,
2020-01-31,WIPRO,EQ,238.00,239.15,235.00,236.80,240.70,5553638,13152.99,58779,
2020-02-03,WIPRO,EQ,237.70,240.15,235.25,237.40,236.80,4231830,10045.75,47901,
2020-02-04,WIPRO,EQ,239.00,241.25,237.90,240.25,237.40,3164756,7581.92,36774,
2020-02-05,WIPRO,EQ,241.60,243.00,237.30,242.25,240.25,3875603,9324.09,44897,
2020-02-06,WIPRO,EQ,242.75,245.95,241.65,243.65,242.25,3056198,7453.29,32387,
2020-02-07,WIPRO,EQ,247.00,247.00,242.95,243.95,243.65,2759512,6746.65,31057,
2020-02-10,WIPRO,EQ,245.40,245.65,239.45,240.90,243.95,2258996,5444.47,25746,
2020-02-11,WIPRO,EQ,240.55,242.90,239.80,241.25,240.90,2730310,6584.27,29387,
2020-02-12,WIPRO,EQ,241.70,247.15,241.70,244.45,241.25,3419400,8372.21,30707,
2020-02-13,WIPRO,EQ,245.80,245.80,242.50,243.75,244.45,2414955,5886.07,23979,
2020-02-14,WIPRO,EQ,243.80,245.35,242.00,242.90,243.75,1809793,4404.67,23737,
2020-02-17,WIPRO,EQ,242.90,245.00,241.95,243.80,242.90,1017778,2476.93,12576,
2020-02-18,WIPRO,EQ,243.75,244.85,241.25,244.05,243.80,1252637,3043.10,16527,
2020-02-19,WIPRO,EQ,244.50,248.35,244.50,247.60,244.05,1785384,4407.90,24285,
2020-02-20,WIPRO,EQ,248.00,248.55,245.10,245.70,247.60,2120807,5232.35,24362,
2020-02-24,WIPRO,EQ,245.00,247.80,242.40,244.20,245.70,3521975,8644.72,38370,
2020-02-25,WIPRO,EQ,244.15,246.65,242.45,244.10,244.20,2529786,6181.43,23406,
2020-02-26,WIPRO,EQ,243.05,243.45,238.40,239.90,244.10,3994194,9585.62,35163,
2020-02-27,WIPRO,EQ,238.95,238.95,230.50,231.60,239.90,4866814,11351.31,63615,
2020-02-28,WIPRO,EQ,228.50,229.50,219.70,221.45,231.60,5637309,12591.76,75674,
2020-03-02,WIPRO,EQ,225.80,227.00,218.40,220.80,221.45,5766175,12891.96,65848,
2020-03-03,WIPRO,EQ,224.00,225.80,220.60,223.70,220.80,5173113,11541.04,41834,
2020-03-04,WIPRO,EQ,224.90,229.75,222.45,228.85,223.70,4518178,10189.74,81745,
