date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2020-01-01,YESBANK,EQ,46.95,47.50,46.50,46.65,46.95,102291841,47956.95,175825,
2020-01-02,YESBANK,EQ,46.80,48.50,46.40,47.35,46.65,122242838,57856.42,217958,
2020-01-03,YESBANK,EQ,47.35,48.25,46.85,47.10,47.35,94827592,44988.59,184973,
2020-01-06,YESBANK,EQ,46.75,46.75,45.00,45.15,47.10,102880221,46982.68,236834,
2020-01-07,YESBANK,EQ,45.70,46.40,43.95,45.05,45.15,111094678,50236.95,219523,
2020-01-08,YESBANK,EQ,46.25,47.20,45.30,46.05,45.05,140074287,64425.72,248762,
2020-01-09,YESBANK,EQ,47.00,48.50,46.30,47.30,46.05,152025694,71996.88,257559,
2020-01-10,YESBANK,EQ,47.95,48.35,43.80,44.75,47.30,303072426,138465.63,479220,
2020-01-13,YESBANK,EQ,43.40,43.90,41.05,42.10,44.75,194734026,82173.08,349447,
2020-01-14,YESBANK,EQ,41.75,41.75,36.55,38.55,42.10,314975429,122919.64,559224,
2020-01-15,YESBANK,EQ,38.45,41.10,36.65,39.75,38.55,400694734,157246.25,625585,
2020-01-16,YESBANK,EQ,40.15,40.90,39.75,39.95,39.75,126354618,50785.29,224735,
2020-01-17,YESBANK,EQ,37.60,39.55,37.00,39.25,39.95,125635833,48651.12,227752,
2020-01-20,YESBANK,EQ,39.50,40.20,38.45,38.65,39.25,89703186,35085.36,168290,
2020-01-21,YESBANK,EQ,38.60,39.20,38.10,38.35,38.65,67215936,25916.90,139699,
2020-01-22,YESBANK,EQ,38.70,39.00,38.00,38.45,38.35,62400795,23997.36,127519,
2020-01-23,YESBANK,EQ,38.55,41.40,38.35,40.95,38.45,178774952,72073.22,305126,
2020-01-24,YESBANK,EQ,41.20,45.00,41.10,42.80,40.95,289854100,125711.55,477591,
2020-01-27,YESBANK,EQ,42.30,43.45,41.85,42.40,42.80,134241973,57331.68,226392,
2020-01-28,YESBANK,EQ,42.50,43.30,41.25,41.65,42.40,106167368,44889.58,182227,
2020-01-29,YESBANK,EQ,41.85,42.35,41.00,41.20,41.65,141475654,58815.95,187608,
2020-01-30,YESBANK,EQ,40.80,40.85,38.55,39.05,41.20,150556233,58996.73,241098,
2020-01-31,YESBANK,EQ,39.30,40.20,38.70,39.25,39.05,117636393,46369.57,177036,
2020-02-03,YESBANK,EQ,37.95,38.40,35.70,36.00,37.90,148030362,54150.19,247342,
2020-02-04,YESBANK,EQ,36.15,36.40,34.45,34.95,36.00,138230643,48581.05,245916,
2020-02-05,YESBANK,EQ,35.10,39.70,34.05,37.60,34.95,281100614,104565.24,426598,
2020-02-06,YESBANK,EQ,37.90,39.50,37.80,38.55,37.60,135268292,52382.16,233539,
2020-02-07,YESBANK,EQ,38.80,39.95,38.15,38.70,38.55,127163152,49553.70,218909,
2020-02-10,YESBANK,EQ,40.00,40.75,37.10,37.55,38.70,142245961,54967.97,236617,
2020-02-11,YESBANK,EQ,37.75,38.10,36.70,36.85,37.55,96791648,36121.59,161061,
2020-02-12,YESBANK,EQ,36.75,36.75,35.05,35.20,36.85,101372754,35969.60,182954,
2020-02-13,YESBANK,EQ,36.95,38.00,36.00,37.20,35.20,168339964,62555.17,301814,
2020-02-14,YESBANK,EQ,37.50,40.20,37.50,38.90,37.20,187898337,73687.34,287678,
2020-02-17,YESBANK,EQ,39.50,40.10,36.60,37.15,38.90,116075992,43727.53,202087,
2020-02-18,YESBANK,EQ,37.35,37.50,33.65,35.05,37.15,229070225,79608.59,345039,
2020-02-19,YESBANK,EQ,34.00,36.20,33.60,35.30,35.05,127701131,44649.80,223661,
2020-02-20,YESBANK,EQ,35.30,36.50,34.65,35.45,35.30,119436898,42784.90,212172,
2020-02-24,YESBANK,EQ,35.50,35.90,34.15,34.95,35.45,105851722,37170.54,180344,
2020-02-25,YESBANK,EQ,35.25,36.00,34.75,35.15,34.95,88184594,31071.20,150768,
2020-02-26,YESBANK,EQ,34.90,37.05,34.45,36.55,35.15,149229469,53711.19,237216,
2020-02-27,YESBANK,EQ,37.30,37.95,36.00,36.80,36.55,164315370,61202.04,239935,
2020-02-28,YESBANK,EQ,35.15,35.85,34.30,34.60,36.80,141720001,49503.41,210153,
2020-03-02,YESBANK,EQ,35.20,35.55,29.80,31.55,34.60,127750922,42983.32,213681,
2020-03-03,YESBANK,EQ,32.45,33.30,30.50,31.20,31.55,164268356,52201.85,243059,
2020-03-04,YESBANK,EQ,31.50,31.70,28.70,29.30,31.20,202851281,60396.25,311010,
2020-03-05,YESBANK,EQ,29.40,37.85,28.00,36.80,29.30,784703310,273217.15,1215263,
2020-03-06,YESBANK,EQ,33.15,33.15,5.65,16.15,36.80,1264917719,186599.66,1657599,
2020-03-09,YESBANK,EQ,17.00,22.80,16.20,21.25,16.15,727571816,147246.50,1070599,
2020-03-11,YESBANK,EQ,23.35,29.60,23.35,28.80,21.25,413676527,112960.48,680533,
2020-03-12,YESBANK,EQ,28.70,28.70,17.45,25.05,28.80,337812521,85074.38,610137,
2020-03-13,YESBANK,EQ,22.55,27.70,21.35,25.55,25.05,276663954,70331.77,466852,
2020-03-16,YESBANK,EQ,26.70,40.40,26.05,37.10,25.55,166521851,59880.14,550545,
2020-03-17,YESBANK,EQ,40.80,64.90,40.80,58.65,37.10,223463025,123761.39,784729,
2020-03-18,YESBANK,EQ,64.50,87.30,49.90,60.45,58.65,364152383,249502.79,1477010,
2020-03-19,YESBANK,EQ,61.65,61.80,42.80,53.85,60.45,147327988,77121.16,683223,
2020-03-20,YESBANK,EQ,59.20,67.30,41.25,45.85,53.85,118192981,59530.99,506135,
2020-03-23,YESBANK,EQ,41.30,49.50,39.25,39.75,45.85,93894255,41270.10,338588,
2020-03-24,YESBANK,EQ,43.65,43.70,34.55,35.00,39.75,79664287,29255.34,306641,
2020-03-25,YESBANK,EQ,35.30,35.50,28.50,29.60,35.00,95160537,29059.51,320674,
