date,symbol,series,open,high,low,close,previous_close,volume,value,trades,isin
2022-03-07,ZYDUSLIFE,EQ,343.70,345.75,331.55,342.10,345.95,969180,3287.73,23948,
2022-03-08,ZYDUSLIFE,EQ,342.10,347.00,335.75,344.50,342.10,978348,3353.08,18860,
2022-03-09,ZYDUSLIFE,EQ,350.00,363.00,348.05,359.35,344.50,3946522,14152.28,71517,
2022-03-10,ZYDUSLIFE,EQ,368.00,368.00,361.50,365.75,359.35,2097821,7647.44,32686,
2022-03-11,ZYDUSLIFE,EQ,363.10,374.60,362.40,370.65,365.75,1365084,5058.46,30209,
2022-03-14,ZYDUSLIFE,EQ,373.00,374.15,363.10,365.35,370.65,840970,3080.37,20014,
2022-03-15,ZYDUSLIFE,EQ,368.00,373.65,366.55,369.60,365.35,1707534,6316.70,26537,
2022-03-16,ZYDUSLIFE,EQ,372.15,376.00,369.55,375.15,369.60,1078307,4021.35,18603,
2022-03-17,ZYDUSLIFE,EQ,378.00,378.60,371.40,373.30,375.15,994040,3721.73,18814,
2022-03-21,ZYDUSLIFE,EQ,375.00,377.90,365.50,366.40,373.30,1058349,3935.53,19761,
2022-03-22,ZYDUSLIFE,EQ,368.00,368.00,358.30,360.10,366.40,1459296,5278.63,18319,
2022-03-23,ZYDUSLIFE,EQ,360.90,369.00,360.50,367.80,360.10,1283159,4694.87,22155,
2022-03-24,ZYDUSLIFE,EQ,365.00,373.35,364.00,367.10,367.80,1188562,4383.08,20694,
2022-03-25,ZYDUSLIFE,EQ,368.25,368.70,355.10,359.15,367.10,1215354,4385.24,21733,
2022-03-28,ZYDUSLIFE,EQ,361.00,366.85,350.10,353.05,359.15,2335329,8332.97,33834,
2022-03-29,ZYDUSLIFE,EQ,355.00,357.90,353.50,356.00,353.05,1395003,4963.84,18342,
2022-03-30,ZYDUSLIFE,EQ,357.00,358.50,353.75,355.85,356.00,1064497,3785.26,23571,
2022-03-31,ZYDUSLIFE,EQ,355.90,357.50,347.00,348.50,355.85,1235444,4333.06,23299,
2022-04-01,ZYDUSLIFE,EQ,350.50,355.15,346.05,354.40,348.50,1081594,3803.89,18256,
2022-04-04,ZYDUSLIFE,EQ,356.00,365.90,355.10,363.40,354.40,1143878,4140.67,20317,
2022-04-05,ZYDUSLIFE,EQ,365.00,369.80,363.50,365.45,363.40,925396,3395.55,17783,
2022-04-06,ZYDUSLIFE,EQ,365.00,372.90,363.60,369.50,365.45,1595289,5898.14,31934,
2022-04-07,ZYDUSLIFE,EQ,369.50,376.70,367.60,369.15,369.50,948403,3530.24,20804,
2022-04-08,ZYDUSLIFE,EQ,369.90,372.55,347.00,369.25,369.15,1179004,4329.11,18628,
2022-04-11,ZYDUSLIFE,EQ,370.10,374.70,370.00,371.95,369.25,618319,2300.63,15073,
2022-04-12,ZYDUSLIFE,EQ,371.95,372.00,361.90,363.35,371.95,689297,2515.35,18552,
2022-04-13,ZYDUSLIFE,EQ,365.00,369.35,361.10,364.80,363.35,711276,2596.67,14952,
2022-04-18,ZYDUSLIFE,EQ,364.80,367.00,358.70,364.90,364.80,720886,2621.01,19117,
2022-04-19,ZYDUSLIFE,EQ,366.00,369.30,352.05,356.35,364.90,919270,3322.71,22290,
2022-04-20,ZYDUSLIFE,EQ,358.00,362.95,354.05,360.95,356.35,667415,2402.89,16772,
2022-04-21,ZYDUSLIFE,EQ,361.10,364.10,359.05,361.55,360.95,501945,1813.59,12957,
2022-04-22,ZYDUSLIFE,EQ,360.00,360.35,351.20,352.30,361.55,974094,3460.74,23124,
