as_of,index_name,symbol,company_name,industry,series,isin
2026-09-04,NIFTY 50,ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
2026-09-04,NIFTY 50,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
2026-09-04,NIFTY 50,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024
2026-09-04,NIFTY 50,ASIANPAINT,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026
2026-09-04,NIFTY 50,AXISBANK,Axis Bank Ltd.,Financial Services,EQ,INE238A01034
2026-09-04,NIFTY 50,BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010
2026-09-04,NIFTY 50,BAJFINANCE,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01032
2026-09-04,NIFTY 50,BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026
2026-09-04,NIFTY 50,BEL,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024
2026-09-04,NIFTY 50,BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024
2026-09-04,NIFTY 50,CIPLA,Cipla Ltd.,Healthcare,EQ,INE059A01026
2026-09-04,NIFTY 50,COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014
2026-09-04,NIFTY 50,DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031
2026-09-04,NIFTY 50,EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021
2026-09-04,NIFTY 50,ETERNAL,Eternal Ltd.,Consumer Services,EQ,INE758T01015
2026-09-04,NIFTY 50,GRASIM,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021
2026-09-04,NIFTY 50,HCLTECH,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027
2026-09-04,NIFTY 50,HDFCBANK,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034
2026-09-04,NIFTY 50,HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014
2026-09-04,NIFTY 50,HINDALCO,Hindalco Industries Ltd.,Metals & Mining,EQ,INE038A01020
2026-09-04,NIFTY 50,HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,INE030A01027
2026-09-04,NIFTY 50,ICICIBANK,ICICI Bank Ltd.,Financial Services,EQ,INE090A01021
2026-09-04,NIFTY 50,ITC,ITC Ltd.,Fast Moving Consumer Goods,EQ,INE154A01025
2026-09-04,NIFTY 50,INFY,Infosys Ltd.,Information Technology,EQ,INE009A01021
2026-09-04,NIFTY 50,INDIGO,InterGlobe Aviation Ltd.,Services,EQ,INE646L01027
2026-09-04,NIFTY 50,JSWSTEEL,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
2026-09-04,NIFTY 50,JIOFIN,Jio Financial Services Ltd.,Financial Services,EQ,INE758E01017
2026-09-04,NIFTY 50,KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01036
2026-09-04,NIFTY 50,LT,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
2026-09-04,NIFTY 50,M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
2026-09-04,NIFTY 50,MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
2026-09-04,NIFTY 50,MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,EQ,INE027H01010
2026-09-04,NIFTY 50,NTPC,NTPC Ltd.,Power,EQ,INE733E01010
2026-09-04,NIFTY 50,NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,EQ,INE239A01024
2026-09-04,NIFTY 50,ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE213A01029
2026-09-04,NIFTY 50,POWERGRID,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010
2026-09-04,NIFTY 50,RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
2026-09-04,NIFTY 50,SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
2026-09-04,NIFTY 50,SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
2026-09-04,NIFTY 50,SBIN,State Bank of India,Financial Services,EQ,INE062A01020
2026-09-04,NIFTY 50,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
2026-09-04,NIFTY 50,TCS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
2026-09-04,NIFTY 50,TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
2026-09-04,NIFTY 50,TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,EQ,INE155A01022
2026-09-04,NIFTY 50,TATASTEEL,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
2026-09-04,NIFTY 50,TECHM,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
2026-09-04,NIFTY 50,TITAN,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
2026-09-04,NIFTY 50,TRENT,Trent Ltd.,Consumer Services,EQ,INE849A01020
2026-09-04,NIFTY 50,ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
2026-09-04,NIFTY 50,WIPRO,Wipro Ltd.,Information Technology,EQ,INE075A01022
2026-09-04,NIFTY NEXT 50,ABB,ABB India Ltd.,Capital Goods,EQ,INE117A01022
2026-09-04,NIFTY NEXT 50,ADANIENSOL,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010
2026-09-04,NIFTY NEXT 50,ADANIGREEN,Adani Green Energy Ltd.,Power,EQ,INE364U01010
2026-09-04,NIFTY NEXT 50,ADANIPOWER,Adani Power Ltd.,Power,EQ,INE814H01029
2026-09-04,NIFTY NEXT 50,AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024
2026-09-04,NIFTY NEXT 50,DMART,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011
2026-09-04,NIFTY NEXT 50,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012
2026-09-04,NIFTY NEXT 50,BANKBARODA,Bank of Baroda,Financial Services,EQ,INE028A01039
2026-09-04,NIFTY NEXT 50,BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011
2026-09-04,NIFTY NEXT 50,BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026
2026-09-04,NIFTY NEXT 50,BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030
2026-09-04,NIFTY NEXT 50,CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,EQ,INE067A01029
2026-09-04,NIFTY NEXT 50,CANBK,Canara Bank,Financial Services,EQ,INE476A01022
2026-09-04,NIFTY NEXT 50,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024
2026-09-04,NIFTY NEXT 50,CUMMINSIND,Cummins India Ltd.,Capital Goods,EQ,INE298A01020
2026-09-04,NIFTY NEXT 50,DLF,DLF Ltd.,Realty,EQ,INE271C01023
2026-09-04,NIFTY NEXT 50,DIVISLAB,Divi's Laboratories Ltd.,Healthcare,EQ,INE361B01024
2026-09-04,NIFTY NEXT 50,GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,EQ,INE129A01019
2026-09-04,NIFTY NEXT 50,GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE102D01028
2026-09-04,NIFTY NEXT 50,HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,EQ,INE127D01025
2026-09-04,NIFTY NEXT 50,HAL,Hindustan Aeronautics Ltd.,Capital Goods,EQ,INE066F01020
2026-09-04,NIFTY NEXT 50,HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,EQ,INE267A01025
2026-09-04,NIFTY NEXT 50,HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,EQ,INE0V6F01027
2026-09-04,NIFTY NEXT 50,INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,EQ,INE053A01029
2026-09-04,NIFTY NEXT 50,IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE242A01010
2026-09-04,NIFTY NEXT 50,IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,EQ,INE053F01010
2026-09-04,NIFTY NEXT 50,JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,EQ,INE749A01030
2026-09-04,NIFTY NEXT 50,LTM,LTM Ltd.,Information Technology,EQ,INE214T01019
2026-09-04,NIFTY NEXT 50,LODHA,Lodha Developers Ltd.,Realty,EQ,INE670K01029
2026-09-04,NIFTY NEXT 50,MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,EQ,INE249Z01020
2026-09-04,NIFTY NEXT 50,MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,EQ,INE414G01012
2026-09-04,NIFTY NEXT 50,PIDILITIND,Pidilite Industries Ltd.,Chemicals,EQ,INE318A01026
2026-09-04,NIFTY NEXT 50,PFC,Power Finance Corporation Ltd.,Financial Services,EQ,INE134E01011
2026-09-04,NIFTY NEXT 50,PNB,Punjab National Bank,Financial Services,EQ,INE160A01022
2026-09-04,NIFTY NEXT 50,RECLTD,REC Ltd.,Financial Services,EQ,INE020B01018
2026-09-04,NIFTY NEXT 50,MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035
2026-09-04,NIFTY NEXT 50,SHREECEM,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015
2026-09-04,NIFTY NEXT 50,ENRIN,Siemens Energy India Ltd.,Capital Goods,EQ,INE1NPP01017
2026-09-04,NIFTY NEXT 50,SIEMENS,Siemens Ltd.,Capital Goods,EQ,INE003A01024
2026-09-04,NIFTY NEXT 50,SOLARINDS,Solar Industries India Ltd.,Chemicals,EQ,INE343H01029
